     PKT_No. 	    TimeStamp 	    ax(m/s^2) 	    ay(m/s^2) 	    az(m/s^2) 	    gx(rad/s) 	    gy(rad/s) 	    gz(rad/s) 
        10302 	        2.944 	         0.01 	         0.37 	         9.86 	         0.00 	        -0.00 	        -0.00 
        10303 	        2.960 	         0.03 	         0.39 	         9.86 	         0.00 	         0.00 	         0.01 
        10304 	        2.976 	         0.03 	         0.35 	         9.84 	         0.00 	        -0.00 	         0.00 
        10305 	        2.992 	         0.03 	         0.36 	         9.86 	        -0.00 	        -0.00 	         0.00 
        10306 	        3.008 	         0.02 	         0.38 	         9.85 	         0.00 	         0.00 	         0.00 
        10307 	        3.024 	         0.01 	         0.37 	         9.85 	         0.00 	        -0.00 	         0.00 
        10308 	        3.040 	        -0.00 	         0.37 	         9.87 	        -0.00 	         0.00 	         0.00 
        10309 	        3.056 	        -0.00 	         0.38 	         9.86 	        -0.00 	         0.00 	         0.00 
        10310 	        3.072 	        -0.01 	         0.35 	         9.86 	         0.00 	        -0.00 	         0.00 
        10311 	        3.088 	        -0.01 	         0.38 	         9.82 	        -0.00 	         0.01 	         0.00 
        10312 	        3.104 	         0.03 	         0.36 	         9.85 	        -0.00 	        -0.00 	        -0.00 
        10313 	        3.120 	         0.01 	         0.36 	         9.85 	         0.00 	         0.00 	         0.00 
        10314 	        3.136 	         0.00 	         0.38 	         9.87 	        -0.01 	         0.00 	         0.00 
        10315 	        3.152 	         0.04 	         0.37 	         9.88 	         0.00 	        -0.00 	         0.00 
        10316 	        3.168 	         0.00 	         0.38 	         9.85 	        -0.00 	         0.00 	         0.00 
        10317 	        3.184 	        -0.02 	         0.35 	         9.87 	         0.00 	         0.00 	         0.00 
        10318 	        3.200 	         0.04 	         0.39 	         9.84 	         0.00 	        -0.00 	         0.00 
        10319 	        3.216 	         0.03 	         0.36 	         9.85 	        -0.00 	         0.00 	         0.01 
        10320 	        3.232 	         0.01 	         0.39 	         9.85 	         0.00 	        -0.00 	        -0.00 
        10321 	        3.248 	         0.02 	         0.37 	         9.88 	        -0.00 	         0.00 	         0.00 
        10322 	        3.264 	         0.01 	         0.39 	         9.85 	        -0.00 	         0.00 	        -0.00 
        10323 	        3.280 	         0.01 	         0.37 	         9.89 	        -0.00 	        -0.00 	         0.00 
        10324 	        3.296 	         0.03 	         0.39 	         9.86 	         0.01 	         0.00 	         0.00 
        10325 	        3.312 	         0.00 	         0.36 	         9.85 	         0.00 	         0.00 	         0.00 
        10326 	        3.328 	         0.00 	         0.36 	         9.86 	         0.00 	        -0.00 	        -0.00 
        10327 	        3.344 	        -0.00 	         0.39 	         9.80 	        -0.00 	         0.00 	         0.00 
        10328 	        3.360 	         0.01 	         0.34 	         9.87 	        -0.00 	        -0.00 	         0.00 
        10329 	        3.376 	         0.03 	         0.37 	         9.86 	        -0.00 	         0.00 	         0.00 
        10330 	        3.392 	         0.00 	         0.39 	         9.90 	        -0.00 	        -0.00 	         0.00 
        10331 	        3.408 	        -0.00 	         0.39 	         9.86 	         0.00 	        -0.00 	        -0.00 
        10332 	        3.424 	         0.01 	         0.40 	         9.86 	        -0.00 	         0.01 	         0.00 
        10333 	        3.440 	         0.01 	         0.35 	         9.85 	         0.00 	         0.00 	         0.00 
        10334 	        3.456 	         0.00 	         0.34 	         9.86 	        -0.01 	         0.00 	         0.00 
        10335 	        3.472 	         0.00 	         0.35 	         9.87 	         0.00 	         0.00 	         0.00 
        10336 	        3.488 	        -0.00 	         0.38 	         9.86 	        -0.00 	        -0.00 	         0.00 
        10337 	        3.504 	         0.01 	         0.40 	         9.85 	        -0.00 	         0.00 	         0.00 
        10338 	        3.520 	         0.01 	         0.40 	         9.82 	        -0.00 	         0.00 	         0.00 
        10339 	        3.536 	        -0.02 	         0.36 	         9.87 	        -0.00 	         0.00 	         0.01 
        10340 	        3.552 	         0.03 	         0.40 	         9.86 	         0.00 	        -0.00 	         0.00 
        10341 	        3.568 	        -0.00 	         0.35 	         9.88 	        -0.00 	         0.00 	         0.00 
        10342 	        3.584 	        -0.01 	         0.37 	         9.85 	         0.00 	        -0.00 	         0.00 
        10343 	        3.600 	         0.02 	         0.36 	         9.88 	         0.00 	         0.00 	         0.00 
        10344 	        3.616 	        -0.00 	         0.37 	         9.87 	        -0.00 	        -0.00 	         0.00 
        10345 	        3.632 	        -0.00 	         0.36 	         9.85 	        -0.00 	         0.00 	         0.00 
        10346 	        3.648 	        -0.01 	         0.36 	         9.88 	         0.00 	        -0.00 	         0.00 
        10347 	        3.664 	         0.02 	         0.39 	         9.85 	        -0.00 	         0.00 	         0.00 
        10348 	        3.680 	         0.01 	         0.34 	         9.87 	         0.00 	        -0.00 	         0.00 
        10349 	        3.696 	         0.03 	         0.39 	         9.87 	         0.00 	         0.00 	         0.00 
        10350 	        3.712 	         0.01 	         0.37 	         9.88 	        -0.00 	         0.00 	         0.00 
        10351 	        3.728 	        -0.00 	         0.38 	         9.85 	         0.00 	         0.00 	         0.00 
        10352 	        3.744 	        -0.01 	         0.37 	         9.87 	        -0.00 	         0.00 	         0.00 
        10353 	        3.760 	        -0.01 	         0.34 	         9.87 	        -0.00 	        -0.00 	        -0.00 
        10354 	        3.776 	         0.02 	         0.36 	         9.88 	        -0.01 	         0.00 	         0.00 
        10355 	        3.792 	         0.01 	         0.38 	         9.88 	         0.00 	        -0.00 	         0.00 
        10356 	        3.808 	        -0.03 	         0.35 	         9.85 	         0.00 	         0.00 	        -0.00 
        10357 	        3.824 	        -0.00 	         0.38 	         9.87 	        -0.00 	         0.00 	         0.00 
        10358 	        3.840 	         0.02 	         0.36 	         9.85 	        -0.00 	         0.00 	         0.00 
        10359 	        3.856 	         0.00 	         0.38 	         9.87 	         0.00 	        -0.00 	         0.00 
        10360 	        3.872 	         0.03 	         0.39 	         9.87 	         0.00 	        -0.00 	         0.00 
        10361 	        3.888 	         0.01 	         0.39 	         9.87 	        -0.00 	         0.00 	         0.00 
        10362 	        3.904 	         0.02 	         0.41 	         9.85 	         0.00 	         0.00 	         0.00 
        10363 	        3.920 	        -0.00 	         0.37 	         9.87 	         0.00 	        -0.00 	         0.00 
        10364 	        3.936 	         0.00 	         0.39 	         9.86 	         0.00 	        -0.00 	         0.00 
        10365 	        3.952 	        -0.01 	         0.34 	         9.85 	        -0.00 	         0.00 	         0.00 
        10366 	        3.968 	         0.02 	         0.38 	         9.87 	         0.00 	         0.00 	        -0.00 
        10367 	        3.984 	         0.02 	         0.35 	         9.85 	        -0.00 	         0.00 	         0.00 
        10368 	        4.000 	         0.01 	         0.34 	         9.87 	        -0.00 	         0.00 	         0.00 
        10369 	        4.016 	         0.04 	         0.39 	         9.84 	         0.00 	         0.00 	         0.00 
        10370 	        4.032 	        -0.00 	         0.36 	         9.90 	        -0.00 	         0.00 	         0.00 
        10371 	        4.048 	         0.04 	         0.38 	         9.86 	         0.00 	        -0.00 	         0.00 
        10372 	        4.064 	        -0.00 	         0.36 	         9.88 	         0.00 	         0.00 	         0.00 
